Subregion,Anonced,Wallbuilding State,Towards,Full,Reasons,Length,Length,Source_Secondary,Source_Primary,DW researched sources
Northern Africa,2015,Algeria,Morocco,Algeria Morocco,"Terrorism, Smuggling, Territorial dispute, Immigration",100.00,100.00,https://ru.wikipedia.org/wiki/Алжиро-марокканская_граница,"Élisabeth Vallet, Josselyn Guillarmou, and Zoé Barry, Raoul-Dandurand Chair, University of Quebec in Montreal; The Economist",5
Northern Africa,2015,Algeria,Libya,Algeria Libya,"Terrorism, Smuggling, Territorial dispute, Immigration",200.00,200.00,https://www.middleeastmonitor.com/20160902-algeria-to-build-security-wall-along-libya-border/,"Élisabeth Vallet, Josselyn Guillarmou, and Zoé Barry, Raoul-Dandurand Chair, University of Quebec in Montreal; The Economist",1-4
Northern Africa,2015,Libya,Egypt,Libya Egypt,"Terrorism, Smuggling, Territorial dispute, Immigration",1.00,1.00,https://www.al-monitor.com/originals/2019/03/egypt-libya-border-wall-weapons-militants-smuggling-security.html,,"98,99"
Southern Africa,2003,Botswana,Zimbabwe,Botswana Zimbabwe,Immigration,482.00,482.00,https://www.pbs.org/wnet/wideangle/uncategorized/the-worlds-most-complex-borders-botswanazimbabwe/2317/,"118, 161, 163, 111, 99",
Northern Africa,2014,Egypt,Gaza Strip,Egypt Gaza Strip,Territorial dispute,3.10,3.10,2020 report by Delàs Center of Peace Studies,"25, 26, 28, 51, 1",
Western Africa,2020,Equatorial Guinea,Cameroon,Equatorial Guinea Cameroon,Immigration,189.00,189.00,https://humanglemedia.com/equatorial-guinea-constructs-wall-on-border-with-cameroon-to-check-illegal-migration/,,65
Eastern Africa,2014,Kenya,Somalia,Kenya Somalia,"Territorial dispute, Immigration",10.00,10.00,https://www.bbc.com/news/world-africa-47574463,"158, 157, 159",
Northern Africa,1980,Morocco,Western Sahara,Morocco Western Sahara,Immigration,"2,700.00","2,700.00","https://www.theguardian.com/world/2018/sep/22/western-sahara-wall-morocco-trump#:~:text=At%201%2C700%20miles%20(2%2C700km,than%20the%20US%2DMexican%20border.","1, 5,51, 99, 111",
Northern Africa,1996,Morocco,Spain (Melilla),Morocco Spain (Melilla),"Immigration, Smuggling",11.00,11.00,"https://en.wikipedia.org/wiki/Melilla_border_fence#:~:text=This%20third%20razor%20wire%20barrier,service%20in%20case%20of%20need.",75,"67, 68"
Northern Africa,2015,Morocco,Algeria,Morocco Algeria,Immigration,700.00,700.00,https://www.moroccoworldnews.com/2016/08/194702/algeria-erects-fence-along-border-morocco,"11, 20,10, 12, 118,19, 203",
Southern Africa,2012,South Africa,Mozambique,South Africa Mozambique,Immigration,8.00,8.00,https://www.plataformamedia.com/en/2020/10/15/south-africa-builds-wall-on-border-with-mozambique/,"Élisabeth Vallet, Josselyn Guillarmou, and Zoé Barry, Raoul-Dandurand Chair, University of Quebec in Montreal; The Economist",45
Southern Africa,1985,South Africa,Zimbabwe,South Africa Zimbabwe,Immigration,40.00,40.00,https://www.aljazeera.com/news/2020/3/20/south-africa-to-build-40km-fence-along-zimbabwe-border,"160, 161, 99, 164",50-52
Northern Africa,2015,Tunisia,Libya,Tunisia Libya,Immigration,200.00,200.00,https://www.bbc.com/news/world-africa-35515229,"15, 16, 71, 73, 74, 72, 111, 76, 203",
South America,2014,Argentina,Paraguay,Argentina Paraguay,Immigration,1.30,1.30,https://www.taylorfrancis.com/chapters/edit/10.4324/9780429352508-5/argentina-enigmatic-wall-paraguayan-border-robert-andolina,4,6
South America,2023,Dominican Republic,Haiti,Dominican Republic Haiti,Territorial dispute,164.00,164.00,https://en.wikipedia.org/wiki/Dominican_Republic–Haiti_border,11,"13, 93"
North America,1959,United States,Cuba (Guantanamo Naval Base),United States Cuba (Guantanamo Naval Base),Territorial dispute,27.00,27.00,https://en.wikipedia.org/wiki/Guantanamo_Bay_Naval_Base,"Élisabeth Vallet, Josselyn Guillarmou, and Zoé Barry, Raoul-Dandurand Chair, University of Quebec in Montreal; The Economist",70
North America,2006,United States,Mexico,United States Mexico,Immigration,"1,128.00","1,128.00",https://en.wikipedia.org/wiki/Mexico–United_States_border_wall,"4, 51, 78","71, 100"
Western Asia,2015,Azerbaijan,Armenia,Azerbaijan Armenia,Immigration,"1,300.00","1,300.00",https://en.armradio.am/2015/09/07/azerbaijan-bulidng-walls-along-armenian-border/,"209, 214,115",5
Southeast Asia,2005,Brunei,Malaysia,Brunei Malaysia,Territorial dispute,20.00,20.00,2020 report by Delàs Center of Peace Studies,"151,147, 148, 112, 124",
Eastern Asia,2006,China,North Korea,China North Korea,"Territorial dispute, Immigration","1,416.00","1,416.00",2020 report by Delàs Center of Peace Studies,"128, 130, 131,111",
Eastern Asia,2005,China,Myanmar,China Myanmar,Territorial dispute,410.00,410.00,https://www.newsweek.com/china-building-1200-mile-southern-great-wall-along-myanmar-border-reports-1554793,,"95, 96"
Eastern Asia,2012,China,Vietnam,China Vietnam,Territorial dispute,12.00,12.00,https://www.abc.net.au/news/2021-01-25/why-china-building-border-walls-with-vietnam-myanmar/13068344,,82
Western Asia,1974,Cyprus,North Cyprus - South Cyprus,Cyprus North Cyprus - South Cyprus,Territorial dispute,180.00,180.00,https://en.wikipedia.org/wiki/Border_barrier,"230, 231,51,1, 7, 111",
Eastern Asia,1962,Hong Kong,Hong Kong and China,Hong Kong Hong Kong and China,Territorial dispute,30.00,30.00,Wikipedia Article,,14
Southern Asia,1994,India,Bangladesh,India Bangladesh,Immigration,"3,268.00","3,268.00",2020 report by Delàs Center of Peace Studies,"1, 120, 119, 122, 123, 125, 112, 124","18, 20"
Southern Asia,2014,India,Pakistan,India Pakistan,Immigration,550.00,550.00,2020 report by Delàs Center of Peace Studies,"3, 51, 111, 118, 121, 123",24
Southern Asia,2003,India,Myanmar,India Myanmar,"Immigration, Smuggling","1,624.00","1,624.00",2020 report by Delàs Center of Peace Studies,"124, 125, 112, 148",
Southern Asia,2018,India,Bhutan,India Bhutan,Immigration,18.00,18.00,https://energy.economictimes.indiatimes.com/news/renewable/solar-fence-along-india-bhutan-border-mitigates-human-elephant-conflict/98437574,"Élisabeth Vallet, Josselyn Guillarmou, and Zoé Barry, Raoul-Dandurand Chair, University of Quebec in Montreal; The Economist","5, 22"
Southern Asia,2000,Iran,Afghanistan,Iran Afghanistan,"Immigration, Smuggling",909.00,909.00,https://en.wikipedia.org/wiki/Iran–Pakistan_border_barrier,"54, 95, 112",25
Southern Asia,2007,Iran,Pakistan,Iran Pakistan,"Immigration, Smuggling, Terrorism",959.00,959.00,2020 report by Delàs Center of Peace Studies,"54, 92, 94,  93, 112",
Southern Asia,2011,Iran,Iraq,Iran Iraq,Immigration,"2,000.00","2,000.00",https://thecradle.co/articles-id/11581,"98, 112",
Western Asia,2022,Iraq,Syria,Iraq Syria,"Immigration, Terrorism",12.00,12.00,https://npasyria.com/en/101898/,"67, 68, 69, 75, 148",33
Western Asia,1993,Israel,Palestinian Territories (Gaza),Israel Palestinian Territories (Gaza),"Immigration, Security",65.00,65.00,2020 report by Delàs Center of Peace Studies,1,
Western Asia,2002,Israel,Palestinian Territories (West Bank),Israel Palestinian Territories (West Bank),Immigration,670.00,670.00,2020 report by Delàs Center of Peace Studies,"36, 1",
Western Asia,2010,Israel,Egypt,Israel Egypt,Immigration,245.00,245.00,"https://en.wikipedia.org/wiki/Egypt–Israel_barrier#:~:text=The%20245%2Dkilometre%20(152%20mi,largest%20projects%20in%20Israel%27s%20history.","27, 28, 42",101
Western Asia,2001,Israel,Lebanon,Israel Lebanon,Immigration,11.00,11.00,2020 report by Delàs Center of Peace Studies,"29, 39, 28, 30, 31, 35","39, 40"
Western Asia,2015,Israel,Jordan,Israel Jordan,"Immigration, Security",30.00,30.00, https://www.timesofisrael.com/israel-starts-massive-fence-on-southern-border-with-jordan/,"32, 33, 34 ,36",
Western Asia,2013,Israel,Syria (Golan Heights),Israel Syria (Golan Heights),"Immigration, Security",241.00,241.00,https://www.theguardian.com/world/2013/jan/06/israel-fence-golan-heights-syria,"27, 36, 37, 42, 41",
Western Asia,2015,Jordan,Syria,Jordan Syria,Immigration,440.00,440.00,2020 report by Delàs Center of Peace Studies,"58, 60, 62, 111, 61, 63",53
Western Asia,2015,Jordan,Iraq,Jordan Iraq,"Immigration, Security",440.00,440.00,https://www.politifact.com/factchecks/2019/nov/01/facebook-posts/some-truth-claim-facebook-us-paid-jordan-syria-wal/,"60, 62, 111, 61, 63",53
CentralAsia,2005,Kazakhstan,Uzbekistan,Kazakhstan Uzbekistan,"Immigration, Smuggling",45.00,45.00,2020 report by Delàs Center of Peace Studies,"116, 99, 107, 105, 106, 112,115",
Western Asia,1994,Kuwait,Iraq,Kuwait Iraq,Territoral dispute,193.00,193.00,2020 report by Delàs Center of Peace Studies,"77, 79, 51, 80, 118",37
Southeast Asia,2015,Malaysia,Thailand,Malaysia Thailand,"Immigration, Terrorism",650.00,650.00,https://worldpopulationreview.com/country-rankings/countries-with-border-walls,"142, 143, 144,118, 145",42-44
Southeast Asia,2009,Myanmar,Bangladesh,Myanmar Bangladesh,Territoral Dispute,210.00,210.00,"https://en.wikipedia.org/wiki/Bangladesh–Myanmar_border#:~:text=About%20210%20km%20(130%20mi,the%20rest%20of%20the%20border.","136, 137, 139, 141, 138, 140",
Eastern Asia,1977,North Korea,South Korea,North Korea South Korea,Immigration,240.00,240.00,Wikipedia Article,,81
Southern Asia,2017,Pakistan,Afghanistan,Pakistan Afghanistan,Immigration,"2,670.00","2,670.00",Economist Interactive,"Élisabeth Vallet, Josselyn Guillarmou, and Zoé Barry, Raoul-Dandurand Chair, University of Quebec in Montreal; The Economist",55-57
Eastern Europe,2015,Russia,Ukraine,Russia Ukraine,Immigration,60.00,60.00,https://www.pnp.ru/politics/v-krymu-postroili-zagrazhdenie-na-granice-s-ukrainoy.html,,88-90
Western Asia,2003,Saudi Arabia,Yemen,Saudi Arabia Yemen,Immigration,75.00,75.00,2020 report by Delàs Center of Peace Studies,"45, 43, 46","48, 49"
Western Asia,2006,Saudi Arabia,Iraq,Saudi Arabia Iraq,"Immigration, Territoral dispute",900.00,900.00,Wikipedia Article,"43, 44, 45","35, 36"
Western Asia,2015,Turkey,Syria,Turkey Syria,"Immigration, Security, Smuggling, Terrorism",828.00,828.00,"https://en.wikipedia.org/wiki/Syria–Turkey_barrier#:~:text=The%20828%20km%20(515%2Dmile,Turkey%27s%20entire%20border%20with%20Syria.","63, 65, 66, 6, 64, 75, 207",32
Western Asia,2017,Turkey,Iran,Turkey Iran,"Immigration, Smuggling, Terrorism",144.00,144.00,2020 report by Delàs Center of Peace Studies,"64, 66","30, 31"
Western Asia,2018,Turkey ,Iraq,Turkey  Iraq,"Immigration, Security, Smuggling, Terrorism",33.00,33.00,http://www.news.cn/english/europe/2021-10/26/c_1310270450.htm,,"30, 32"
CentralAsia,2001,Turkmenistan,Uzbekistan,Turkmenistan Uzbekistan,Immigration,"1,700.00","1,700.00",2020 report by Delàs Center of Peace Studies,"99, 102, 104, 116",
Western Asia,2002,United Arab Emirates,Oman,United Arab Emirates Oman,Immigration,410.00,410.00,https://en.wikipedia.org/wiki/Border_barrier,"48, 55, 56, 148",41
Western Asia,2005,United Arab Emirates,Saudi Arabia,United Arab Emirates Saudi Arabia,"Immigration, Terrorism",525.00,525.00,https://en.wikipedia.org/wiki/Border_barrier,209,41
CentralAsia,1999,Uzbekistan,Kyrgyzstan,Uzbekistan Kyrgyzstan,"Immigration, Security","1,314.00","1,314.00",https://www.currenttime.tv/a/uzbekistan-snosit-stenu-na-granitse-s-kyrgyzstanom/32435522.html,"Élisabeth Vallet, Josselyn Guillarmou, and Zoé Barry, Raoul-Dandurand Chair, University of Quebec in Montreal; The Economist",
CentralAsia,2001,Uzbekistan,Afghanistan,Uzbekistan Afghanistan,"Immigration, Security",209.00,209.00,https://en.wikipedia.org/wiki/Border_barrier,"115, 116, 99, 112, 114, 212, 213",
Western Europe,2015,Austria,Slovenia,Austria Slovenia,Immigration,3.70,3.70,https://www.nytimes.com/2018/07/24/world/europe/austria-slovenia-border-migrants-spielfeld-schengen.html,"51, 185, 24, 178",94
Western Europe,2016,Austria,Italy,Austria Italy,Territorial dispute,0.40,0.40,Economist Interactive,"Élisabeth Vallet, Josselyn Guillarmou, and Zoé Barry, Raoul-Dandurand Chair, University of Quebec in Montreal; The Economist",94
Eastern Europe,2014,Bulgaria,Turkey,Bulgaria Turkey,"Territorial dispute, Immigration",235.00,235.00,2020 report by Delàs Center of Peace Studies,"52, 183, 184, 51, 178, 182",
Northern Europe,2014,Estonia,Russia,Estonia Russia,"Territorial dispute, Security",40.00,40.00,https://www.europarl.europa.eu/RegData/etudes/BRIE/2022/733692/EPRS_BRI(2022)733692_EN.pdf,"255, 256",
Southern Europe,2012,Greece,Turkey,Greece Turkey,Territorial dispute,12.50,12.50,https://www.europarl.europa.eu/RegData/etudes/BRIE/2022/733692/EPRS_BRI(2022)733692_EN.pdf,"179, 180, 181, 178, 184, 182, 185",
Eastern Europe,2015,Hungary,Croatia,Hungary Croatia,Immigration,131.00,131.00,https://www.europarl.europa.eu/RegData/etudes/BRIE/2022/733692/EPRS_BRI(2022)733692_EN.pdf,"51, 178, 184, 185",
Eastern Europe,2015,Hungary,Serbia,Hungary Serbia,Immigration,158.00,158.00,https://www.europarl.europa.eu/RegData/etudes/BRIE/2022/733692/EPRS_BRI(2022)733692_EN.pdf,"6,  51, 201, 178",
Northern Europe,2015,Latvia,Russia,Latvia Russia,"Territorial dispute, Security",104.50,104.50,https://www.europarl.europa.eu/RegData/etudes/BRIE/2022/733692/EPRS_BRI(2022)733692_EN.pdf,"210, 211, 212,178, 213",
Northern Europe,2022,Latvia,Belarus,Latvia Belarus,"Territorial dispute, Security",149.70,149.70,https://www.europarl.europa.eu/RegData/etudes/BRIE/2022/733692/EPRS_BRI(2022)733692_EN.pdf,,"83, 84"
Northern Europe,1999,Lithuania,Belarus,Lithuania Belarus,"Territoral dispute, Security",502.00,502.00,https://www.europarl.europa.eu/RegData/etudes/BRIE/2022/733692/EPRS_BRI(2022)733692_EN.pdf,"209, 220, 222, 223, 224, 225",59
Northern Europe,2015,Lithuania,Russia,Lithuania Russia,Immigration,45.00,45.00,2020 report by Delàs Center of Peace Studies,"216, 217, 218, 221, 219",38
Southern Europe,2015,North Macedonia,Greece,North Macedonia Greece,Immigration,37.00,37.00,https://www.europarl.europa.eu/RegData/etudes/BRIE/2022/733692/EPRS_BRI(2022)733692_EN.pdf,"51, 186, 51, 178, 188,187",75-78
Northern Europe,2016,Norway,Russia,Norway Russia,Security,200.00,200.00,https://www.europarl.europa.eu/RegData/etudes/BRIE/2022/733692/EPRS_BRI(2022)733692_EN.pdf,"22, 235, 237, 176, 178",
Eastern Europe,2020,Serbia,North Macedonia,Serbia North Macedonia,Immigration,240.00,240.00,https://www.borderline-europe.de/sites/default/files/background/Klikaktiv%20report%20-%20Fences%20-%20to%20be%20continued%20Border%20fence%20construction%20at%20the%20Serbian-North%20Macedonia%20border%20June%202022.pdf,49,"73, 74"
Southern Europe,2015,Slovenia,Croatia,Slovenia Croatia,Immigration,198.70,198.70,https://www.europarl.europa.eu/RegData/etudes/BRIE/2022/733692/EPRS_BRI(2022)733692_EN.pdf,"232, 233, 234,178",
Southern Europe,1993,Spain,Ceuta-Morocco,Spain Ceuta-Morocco,"Immigration, Smuggling",7.80,7.80,https://www.europarl.europa.eu/RegData/etudes/BRIE/2022/733692/EPRS_BRI(2022)733692_EN.pdf,"51, 245, 247,178, 246,182",
Southern Europe,1996,Spain,Melilla-Morocco,Spain Melilla-Morocco,"Immigration, Smuggling",13.00,13.00,https://www.europarl.europa.eu/RegData/etudes/BRIE/2022/733692/EPRS_BRI(2022)733692_EN.pdf,"51, 244, 245, 178, 182, 247",
Northern Europe,2015,Sweden,Denmark,Sweden Denmark,Immigration,500.00,500.00,Economist Interactive,"Élisabeth Vallet, Josselyn Guillarmou, and Zoé Barry, Raoul-Dandurand Chair, University of Quebec in Montreal; The Economist",72
Eastern Europe,2015,Ukraine,Russia,Ukraine Russia,Territorial dispute,"2,000.00","2,000.00",2020 report by Delàs Center of Peace Studies,"165, 240, 84, 165, 238, 239, 240",
Northern Europe,2015,United Kingdom,France (Port of Calais),United Kingdom France (Port of Calais),Immigration,61.00,61.00,https://www.europarl.europa.eu/RegData/etudes/BRIE/2022/733692/EPRS_BRI(2022)733692_EN.pdf,"5, 226, 227,  228, 229, 51, 178",69
Eastern Europe,2021,Poland,Belarus,Poland Belarus,"Territorial dispute, Security",186.00,186.00,https://www.europarl.europa.eu/RegData/etudes/BRIE/2022/733692/EPRS_BRI(2022)733692_EN.pdf,,
Northern Europe,2023,Finland,Russia,Finland Russia,"Security, Immigratiom",0,,,,
,,,,,,,,,,
,,,,,,,,,"Élisabeth Vallet, Josselyn Guillarmou, and Zoé Barry, Raoul-Dandurand Chair, University of Quebec in Montreal; The Economist","60, 61"
,,,,,,,,,,7
,,,,,,,,,,
,,,,,,,,,"108, 109,  209",58